epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9294,1.32569,1.03799,1.18706,0.84996,0.8113,0.86593,0.63963,1.1703,1.18328,1.16367,0.000551551,0.000551551,0.000551551
2,111.583,1.0353,0.59952,1.00761,0.8912,0.81509,0.86542,0.6502,1.14408,1.0524,1.17245,0.00108529,0.00108529,0.00108529
3,165.055,0.97908,0.56396,0.9905,0.83262,0.81659,0.85752,0.67736,1.02242,0.98925,1.10589,0.00159703,0.00159703,0.00159703
4,215.723,0.93665,0.53908,0.97778,0.89818,0.84573,0.90291,0.70326,0.97076,0.88301,1.08712,0.00156798,0.00156798,0.00156798
5,265.885,0.90756,0.50577,0.96372,0.91613,0.83433,0.89889,0.72262,0.96739,0.86392,1.07972,0.00153497,0.00153497,0.00153497
6,318.722,0.86978,0.49835,0.95342,0.89447,0.82869,0.8866,0.73141,0.93772,0.93618,1.10105,0.00150197,0.00150197,0.00150197
7,370.238,0.86707,0.53173,0.95505,0.90418,0.85332,0.9012,0.75506,0.90255,0.79113,1.0606,0.00146896,0.00146896,0.00146896
8,423.772,0.8222,0.46685,0.93795,0.88007,0.84594,0.89683,0.75114,0.91511,0.87138,1.08012,0.00143595,0.00143595,0.00143595
9,475.842,0.80372,0.45904,0.93575,0.9272,0.83913,0.9001,0.76147,0.86122,0.78008,1.04767,0.00140295,0.00140295,0.00140295
10,528.67,0.78003,0.44235,0.92601,0.84808,0.84884,0.88762,0.75365,0.83875,0.92412,1.01617,0.00136994,0.00136994,0.00136994
11,581.833,0.76043,0.43,0.91637,0.91836,0.81985,0.89103,0.76426,0.88668,0.85966,1.06301,0.00133693,0.00133693,0.00133693
12,633.956,0.73651,0.41323,0.91053,0.89272,0.8424,0.89834,0.76652,0.91483,0.8626,1.07532,0.00130393,0.00130393,0.00130393
13,684.537,0.74485,0.41962,0.91722,0.89829,0.83567,0.89467,0.77533,0.84197,0.82771,1.03633,0.00127092,0.00127092,0.00127092
14,738.759,0.73379,0.41431,0.9107,0.87015,0.85164,0.89175,0.77447,0.84581,0.87717,1.04272,0.00123791,0.00123791,0.00123791
15,791.327,0.71522,0.4035,0.90723,0.9285,0.84075,0.90997,0.7904,0.85857,0.75328,1.04368,0.00120491,0.00120491,0.00120491
16,845.029,0.70111,0.3941,0.89884,0.93028,0.82359,0.88721,0.77791,0.83697,0.88044,1.06,0.0011719,0.0011719,0.0011719
17,897.377,0.69526,0.39155,0.89792,0.89493,0.86196,0.90617,0.78785,0.79148,0.71721,1.01658,0.00113889,0.00113889,0.00113889
18,949.717,0.69512,0.38931,0.8959,0.92576,0.83874,0.90247,0.79264,0.80453,0.81089,1.03885,0.00110589,0.00110589,0.00110589
19,1002.85,0.67216,0.37773,0.89275,0.91889,0.85393,0.91016,0.80216,0.77439,0.70289,0.99691,0.00107288,0.00107288,0.00107288
20,1054.91,0.66335,0.37445,0.89123,0.90282,0.84732,0.90784,0.79922,0.79277,0.70691,1.0207,0.00103987,0.00103987,0.00103987
21,1107.37,0.66582,0.37685,0.89144,0.89911,0.84743,0.89738,0.79579,0.77277,0.82644,1.02814,0.00100687,0.00100687,0.00100687
22,1160.75,0.65506,0.36726,0.88657,0.93189,0.84246,0.909,0.80721,0.72082,0.71117,0.98792,0.000973861,0.000973861,0.000973861
23,1213.09,0.64517,0.36457,0.88673,0.92117,0.84555,0.90807,0.80451,0.74152,0.77122,1.00951,0.000940855,0.000940855,0.000940855
24,1265.05,0.6199,0.35304,0.87834,0.91082,0.83995,0.9037,0.80528,0.77746,0.78135,1.03348,0.000907848,0.000907848,0.000907848
25,1317.72,0.6093,0.34645,0.87666,0.91772,0.84382,0.90578,0.80668,0.78736,0.77537,1.03366,0.000874842,0.000874842,0.000874842
26,1369.96,0.62217,0.35096,0.88017,0.94551,0.84156,0.90367,0.80663,0.77308,0.79559,1.03651,0.000841835,0.000841835,0.000841835
27,1422.1,0.59709,0.34364,0.87286,0.90831,0.84949,0.8963,0.79768,0.7604,0.75432,1.01633,0.000808828,0.000808828,0.000808828
28,1472.28,0.614,0.34573,0.8772,0.91839,0.82439,0.89842,0.80741,0.7306,0.869,1.02592,0.000775822,0.000775822,0.000775822
29,1523.98,0.58907,0.33917,0.87124,0.93028,0.84335,0.90553,0.81195,0.73252,0.72741,0.99505,0.000742815,0.000742815,0.000742815
30,1578,0.59357,0.33976,0.87116,0.92598,0.84189,0.90285,0.79968,0.80615,0.76348,1.04687,0.000709809,0.000709809,0.000709809
31,1630.08,0.57537,0.33008,0.86413,0.93472,0.84518,0.90482,0.81242,0.73932,0.72737,1.0222,0.000676802,0.000676802,0.000676802
32,1682.65,0.56637,0.32602,0.86227,0.93007,0.83734,0.90082,0.80903,0.6832,0.71873,0.97511,0.000643795,0.000643795,0.000643795
33,1735.78,0.57024,0.33111,0.87207,0.91858,0.83669,0.90391,0.81184,0.68682,0.69003,0.99036,0.000610789,0.000610789,0.000610789
34,1787.94,0.56423,0.32529,0.86386,0.9361,0.84081,0.91333,0.82518,0.68562,0.70668,0.9859,0.000577782,0.000577782,0.000577782
35,1840.5,0.55227,0.32016,0.86184,0.92049,0.84569,0.8968,0.81221,0.70904,0.81304,1.0135,0.000544776,0.000544776,0.000544776
36,1893.46,0.53202,0.31235,0.85803,0.93677,0.84954,0.91116,0.82137,0.68251,0.68374,0.98225,0.000511769,0.000511769,0.000511769
37,1946.09,0.53337,0.30727,0.85609,0.92081,0.83882,0.9067,0.81678,0.68613,0.72182,0.99308,0.000478762,0.000478762,0.000478762
38,1997.66,0.5302,0.31039,0.85567,0.9349,0.84699,0.90722,0.81864,0.68549,0.75951,0.98244,0.000445756,0.000445756,0.000445756
39,2049.65,0.52667,0.30517,0.85752,0.94058,0.84246,0.90791,0.82275,0.70075,0.71159,0.99847,0.000412749,0.000412749,0.000412749
40,2099.51,0.50149,0.29555,0.84993,0.93568,0.84127,0.91019,0.82549,0.70114,0.69892,1.01218,0.000379743,0.000379743,0.000379743
41,2152.7,0.48938,0.28461,0.84526,0.92931,0.8355,0.90319,0.81951,0.69636,0.81817,1.00522,0.000346736,0.000346736,0.000346736
42,2202.14,0.47163,0.27629,0.83761,0.91893,0.84604,0.90445,0.82151,0.67893,0.78485,0.99581,0.000313729,0.000313729,0.000313729
43,2252.2,0.46664,0.2766,0.83906,0.92625,0.84993,0.90617,0.8253,0.69095,0.73026,1.00094,0.000280723,0.000280723,0.000280723
44,2301.98,0.45663,0.27112,0.83773,0.93194,0.84024,0.90497,0.82566,0.67097,0.79826,1.00557,0.000247716,0.000247716,0.000247716
45,2350.34,0.44106,0.26032,0.83158,0.90856,0.85096,0.90331,0.82739,0.63764,0.77888,0.98579,0.00021471,0.00021471,0.00021471
46,2399.05,0.4245,0.25229,0.83002,0.9344,0.84394,0.90339,0.82974,0.64253,0.79554,0.98996,0.000181703,0.000181703,0.000181703
