epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1756,1.46829,2.52466,1.39051,0.65872,0.61337,0.64862,0.43603,1.26751,1.78678,1.25031,0.000663704,0.000663704,0.000663704
2,163.367,1.47892,1.19111,1.38921,0.75755,0.63953,0.72299,0.45441,1.47292,1.67623,1.44549,0.00130403,0.00130403,0.00130403
3,241.922,1.44556,1.18292,1.39273,0.69923,0.72384,0.77389,0.50433,1.22923,2.06397,1.28575,0.00191795,0.00191795,0.00191795
4,319.925,1.38436,1.06602,1.35966,0.89312,0.8343,0.90943,0.5131,1.44133,1.00629,1.35792,0.0018812,0.0018812,0.0018812
5,397.94,1.33389,1.02444,1.33346,0.87496,0.92151,0.94793,0.63156,1.13861,0.84286,1.2304,0.0018416,0.0018416,0.0018416
6,475.448,1.3055,0.97014,1.31386,0.85267,0.82436,0.89121,0.58751,1.20864,0.95513,1.25828,0.001802,0.001802,0.001802
7,553.005,1.2813,0.9463,1.30429,0.86386,0.86693,0.93676,0.63881,1.12228,0.82837,1.21825,0.0017624,0.0017624,0.0017624
8,631.918,1.24487,0.90885,1.28801,0.83651,0.80523,0.91335,0.62407,1.1182,0.94479,1.22803,0.0017228,0.0017228,0.0017228
9,710.395,1.24123,0.89669,1.2805,0.9326,0.90407,0.96437,0.66658,1.15116,0.71788,1.23443,0.0016832,0.0016832,0.0016832
10,788.427,1.22897,0.88549,1.27428,0.94558,0.84302,0.91241,0.62256,1.14009,0.90509,1.24272,0.0016436,0.0016436,0.0016436
11,865.093,1.18363,0.86222,1.25055,0.90604,0.93023,0.97056,0.66392,1.09724,0.69986,1.18645,0.001604,0.001604,0.001604
12,942.895,1.18143,0.85568,1.24004,0.93054,0.9736,0.97826,0.70849,1.00827,0.63236,1.16997,0.0015644,0.0015644,0.0015644
13,1019.76,1.15773,0.81281,1.21952,0.91031,0.9593,0.97531,0.67574,1.07983,0.69,1.18787,0.0015248,0.0015248,0.0015248
14,1099.51,1.1407,0.79053,1.20448,0.91471,0.77907,0.85441,0.5458,1.26066,1.13971,1.25031,0.0014852,0.0014852,0.0014852
15,1177.82,1.14115,0.7908,1.20753,0.87909,0.94186,0.96065,0.68045,1.02985,0.68751,1.14366,0.0014456,0.0014456,0.0014456
16,1255.62,1.13249,0.79975,1.21231,0.91473,0.95349,0.96226,0.68409,1.00931,0.6714,1.12893,0.001406,0.001406,0.001406
17,1332.86,1.12495,0.78588,1.20251,0.9294,0.97093,0.98031,0.67705,1.09496,0.64223,1.17874,0.0013664,0.0013664,0.0013664
18,1410.76,1.11212,0.77191,1.2024,0.9296,0.95966,0.97898,0.69402,1.02893,0.63643,1.16483,0.0013268,0.0013268,0.0013268
19,1488.68,1.09011,0.7673,1.18983,0.9413,0.96512,0.98384,0.72494,0.94697,0.57498,1.12355,0.0012872,0.0012872,0.0012872
20,1566.48,1.09644,0.7518,1.185,0.94291,0.96512,0.98569,0.70015,1.05267,0.60908,1.16608,0.0012476,0.0012476,0.0012476
21,1644.42,1.08442,0.7386,1.17849,0.96166,0.96802,0.97785,0.71026,1.05408,0.60304,1.17538,0.001208,0.001208,0.001208
22,1722.49,1.09358,0.74368,1.19043,0.90527,0.94477,0.97096,0.69715,1.02883,0.62857,1.16488,0.0011684,0.0011684,0.0011684
23,1800.25,1.07156,0.73191,1.17256,0.94604,0.9683,0.98297,0.72698,0.97283,0.59736,1.11375,0.0011288,0.0011288,0.0011288
24,1878.06,1.05977,0.73225,1.17524,0.95219,0.98256,0.98938,0.73965,0.96299,0.55811,1.13045,0.0010892,0.0010892,0.0010892
25,1956.24,1.04504,0.71177,1.16682,0.9099,0.97674,0.97427,0.715,1.0112,0.58663,1.13592,0.0010496,0.0010496,0.0010496
26,2034.58,1.02632,0.68735,1.1524,0.95991,0.97442,0.98806,0.74106,0.96275,0.5276,1.13028,0.00101,0.00101,0.00101
27,2112.73,1.03186,0.69141,1.15446,0.94967,0.99128,0.98325,0.72596,0.99507,0.53589,1.13089,0.0009704,0.0009704,0.0009704
28,2190.47,1.01749,0.69687,1.14919,0.94779,0.97674,0.98826,0.75385,0.94226,0.50164,1.1226,0.0009308,0.0009308,0.0009308
29,2267.89,1.0005,0.65679,1.13134,0.96526,0.96926,0.98626,0.74788,0.93035,0.52378,1.0986,0.0008912,0.0008912,0.0008912
30,2345.46,1.00281,0.65493,1.12894,0.95162,0.97212,0.98451,0.75074,0.92906,0.51315,1.10236,0.0008516,0.0008516,0.0008516
31,2422,0.99932,0.64207,1.12425,0.95946,0.96802,0.98766,0.75003,0.9216,0.50721,1.09476,0.000812,0.000812,0.000812
32,2499.37,0.98882,0.63395,1.12799,0.97659,0.98837,0.99178,0.75072,0.94511,0.48313,1.12133,0.0007724,0.0007724,0.0007724
33,2576.83,0.97707,0.62213,1.11877,0.97147,0.98977,0.99104,0.75971,0.91832,0.47829,1.10172,0.0007328,0.0007328,0.0007328
34,2654.93,0.9677,0.62084,1.11284,0.96956,0.98256,0.99083,0.77161,0.90786,0.44956,1.11078,0.0006932,0.0006932,0.0006932
35,2733.54,0.96066,0.61211,1.1141,0.97707,0.99092,0.99164,0.77132,0.90511,0.44425,1.09995,0.0006536,0.0006536,0.0006536
36,2812.69,0.94855,0.59833,1.09366,0.97704,0.98955,0.99321,0.775,0.88886,0.43749,1.08499,0.000614,0.000614,0.000614
37,2892.1,0.93303,0.5781,1.09303,0.97285,0.99128,0.99069,0.77253,0.90097,0.43923,1.09631,0.0005744,0.0005744,0.0005744
38,2970.98,0.93026,0.57981,1.10034,0.96085,0.99128,0.99087,0.76035,0.91266,0.44951,1.09156,0.0005348,0.0005348,0.0005348
39,3049.52,0.92781,0.5705,1.0942,0.98213,0.98547,0.99369,0.77645,0.88944,0.43283,1.08352,0.0004952,0.0004952,0.0004952
40,3128.68,0.91588,0.55241,1.0826,0.98203,0.99709,0.99196,0.77875,0.88861,0.42069,1.08081,0.0004556,0.0004556,0.0004556
41,3206.85,0.85288,0.48284,1.05139,0.97057,0.99419,0.99167,0.78152,0.87137,0.41862,1.07312,0.000416,0.000416,0.000416
42,3282.8,0.83413,0.45907,1.04881,0.98466,0.99419,0.99346,0.78913,0.86006,0.40625,1.06465,0.0003764,0.0003764,0.0003764
43,3358.42,0.82413,0.44956,1.03731,0.97306,0.99419,0.99375,0.79213,0.85201,0.41119,1.06606,0.0003368,0.0003368,0.0003368
44,3434.9,0.80995,0.44139,1.0341,0.97702,0.99128,0.99172,0.78961,0.85606,0.41153,1.064,0.0002972,0.0002972,0.0002972
45,3510.88,0.80438,0.43213,1.02906,0.97593,0.99419,0.99301,0.78777,0.8533,0.4117,1.05998,0.0002576,0.0002576,0.0002576
46,3587,0.78851,0.42944,1.02187,0.97992,0.99295,0.99327,0.7942,0.83501,0.39552,1.05166,0.000218,0.000218,0.000218
47,3662.53,0.7851,0.41463,1.01873,0.9768,0.99419,0.99349,0.79721,0.84095,0.39934,1.05258,0.0001784,0.0001784,0.0001784
48,3737.62,0.77851,0.40442,1.01364,0.98563,0.99698,0.99405,0.7945,0.84526,0.39736,1.05711,0.0001388,0.0001388,0.0001388
49,3813.26,0.75155,0.40018,1.00052,0.97712,0.99314,0.99347,0.79499,0.84571,0.40144,1.05696,9.92e-05,9.92e-05,9.92e-05
50,3889.25,0.76014,0.39633,1.00676,0.97071,0.99709,0.99388,0.79979,0.83478,0.39494,1.05373,5.96e-05,5.96e-05,5.96e-05
